"383741444";"Fuji 16MP Digital Camera - Black";"120"
"383741454";"Fuji 16MP Digital Camera - Silver";"120"
"383741464";"Fuji 16MP Digital Camera - Pink";"120"
"383741474";"Fuji 16MP Digital Camera - Red";"120"
"383741484";"Olympus 14MP Digital Camera Black";"120"
"383741494";"Olympus 14MP Digital Camera Silver";"120"
"383750454";"Fuji 14MP 30x Optical Zoom Camera";"120"
"383751734";"Panasonic 14MP Digital Camera Blue";"115"
"383751744";"Panasonic 14MP Digital Camera Red";"115"
"383751754";"Panasonic 14MP Digital Camera Pink";"115"
"383751824";"Panasonic 16MP Digital Camera Black";"160"
"383751834";"Panasonic 16MP Digital Camera Silver";"160"
"383751844";"Panasonic 16MP Digital Camera Red";"160"
